Reference, Quantity, Value, Footprint, Datasheet, Price, SolderPoints, PN, URL, SolderPointsDIP
ANT1 ,1,"ANT_GENERAL","Antennas:LcktSnd_2d41",""
ANT2 ,1,"ANT_PCB_MONO_2PIN","Antennas:LcktSnd_868","","0","0","","",""
B1 ,1,"BAT","Installation:18650x1",""
BLN1 ,1,"BALUN868JOHANSON","Radio:BALUN_JOHANSON868","","","6","0896BM15A0001E","http://onelec.ru/products/0896bm15a0001e-52ab3408-7c12-4b8c-99ab-cc294cdc1e18",""
C10 C7 C16 ,3,"10n","Capacitors:CAP_0603","","0.5","2","","",""
C18 C23 C17 C21 C57 C61 C50 C63 C4 C13 C26 C31 C93 C87 C69 C68 ,16,"1u","Capacitors:CAP_0603","","0.5","2","","",""
C20 C22 ,2,"6.8pF","Capacitors:CAP_0603","","0.5","2","","",""
C27 C28 C34 C36 C1 C2 C29 C30 ,8,"18pF","Capacitors:CAP_0603","","0.5","2","","",""
C32 ,1,"1nF","Capacitors:CAP_0603","","0.5","2","","",""
C38 C39 ,2,"220pF","Capacitors:CAP_0603","","0.5","2","","",""
C45 ,1,"22pF","Capacitors:CAP_0402",""
C52 C43 C44 C53 C59 C60 ,6,"*","Capacitors:CAP_0603","","0.5","2","","",""
C71 ,1,"30pF","Capacitors:CAP_0603",""
C75 C78 ,2,"*","Capacitors:CAP_0402","","0.5","2","","",""
C83 C86 C85 C14 C24 C92 C35 C70 C5 C67 ,10,"10u","Capacitors:CAP_0603","","0.5","2","","",""
C84 ,1,"100u","Capacitors:CAP_1206",""
C88 C89 C91 C82 C33 C37 C41 C49 C56 C42 C81 C79 C80 C77 C76 C73 C25 C15 C8 C9 C11 C6 C19 C12 C3 C74 C90 C72 C65 C46 C51 C48 C64 C40 C55 C47 C54 C58 C62 C66 ,40,"0.1u","Capacitors:CAP_0402","","0.5","2","","",""
D2 D1 ,2,"NSR0320","Diodes:SOD323","","2","2","NSR0320MW2T1G ","https://www.terraelectronica.ru/product/323723",""
DA1 DA4 ,2,"AP7331","SOT:SOT23-5","","","","AP7331-WG-7","https://www.terraelectronica.ru/product/2093831",""
DA2 ,1,"TP4056","SO_DIL_TSSOP:SO8_150MIL","","5","8","","",""
DA3 DA7 ,2,"MCP1700","SOT:SOT23-3A","http://datasheet.elcodis.com/pdf2/93/72/937252/mcp1700-1202e.pdf","10","3","MCP1700T-3302E/TT","",""
DA5 ,1,"WM8960","QFN_DFN:QFN32_EP_5x5_Pitch0.5mm","","35","33","","",""
DA6 ,1,"Generic_8pin","SO_DIL_TSSOP:SO8_150MIL",""
DD1 ,1,"STM32L476VET6","LQFP_TQFP:LQFP100","","290","100","STM32L476VET6","",""
DD2 ,1,"MFRC52202","QFN_DFN:QFN32_EP_5x5_Pitch0.5mm","","","33","","",""
DD3 ,1,"CC256x","QFN_DFN:mrQFN76",""
DD4 DD5 ,2,"SN74LVC07","SO_DIL_TSSOP:SO14","","","","SN74LVC07ADR","https://www.terraelectronica.ru/product/173512",""
DD6 ,1,"CC1101","QFN_DFN:QFN20","","140","21","","http://",""
FLT1 ,1,"LFB212G45SG8C341","Radio:FLT_LFB21","","","","LFB212G45SG8C341","",""
HOLE1 HOLE2 HOLE3 HOLE4 ,4,"HOLE_METALLED","PCB:Hole2d2_out3d5mm","","0","0","","",""
L3 L4 ,2,"560nH","Inductors:IND_0805","","4","2","LQM21NNR56K10D","",""
L5 ,1,"BLM15AG102SN1","Inductors:IND_0402",""
L6 ,1,"*","Inductors:IND_0402","","4","2","","",""
L7 L2 L1 L8 ,4,"BLM15","Inductors:IND_0402","","4","2","","",""
Logo1 ,1,"Logo","Pictures:Ostranna_12d7_10d1",""
M1 ,1,"MOTOR_NO_CONTACTS","Installation:Motor_no_Contacts","","28","0","~","http://www.aliexpress.com/item/100pcs-lot-Model-1227-Voltage-3V-Coin-Vibration-Micro-Motor-Flat-Toy-Cell-Phone-Pager/1435504466.html",""
MIC1 ,1,"Microphone","Connectors:PLS-2",""
Q1 Q3 Q4 Q8 Q2 ,5,"IRLML6401","SOT:SOT23-3","","5","3","","",""
Q5 ,1,"TEMT7000","Resistors:RES_1206",""
Q6 ,1,"TSOP4856","Sensors:TSOP48xx","","32","","","https://www.terraelectronica.ru/catalog.php?ID=1484&search=tsop4856",""
Q7 ,1,"LED_RGB 5050","LEDs:LED_5050",""
Q9 ,1,"MMBT2222","SOT:SOT23-3","","5","3","~","~",""
R12 R17 R16 R41 R57 R56 R53 R2 R18 R13 ,10,"100k","Resistors:RES_0603",""
R15 ,1,"1.2k","Resistors:RES_0603","","0.5","2","","",""
